Species;Author;GD_14_1H;K_8_1H;K_12H;K_14_1H;K_20_1H;K_23H;K_25H;K_27H;K_30BH;K_33H;K_44H;K_47H;K_65H;LG_1H
Solenotryma(?) sp. A;;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Spongocapsula(?) sp. C;;0;0;0;0;0;0;0;0;0;0;0;0;7;0
Spongocapsula(?) sp. E;;0;0;0;0;0;0;0;0;0;0;2;4;0;0
Stichocapsa(?) sp. A;;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Stichomitra(?) sp. A;;0;7;0;0;0;0;4;0;0;0;0;0;0;0
Stichomitra (?) sp. B;;0;5;0;0;1;0;4;0;14;0;1;1;1;4
Stichomitra (?) sp. C;;5;3;0;0;2;0;13;1;5;2;0;1;2;9
Stylocapsa(?) sp. A;;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Syringocapsa sp. aff. S. spinosa;(Squinabol);0;0;0;0;0;0;0;0;0;0;0;0;0;1
Theocampe sp. A;;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Tricolocapsa boehmi;n.sp.;0;0;0;0;0;0;0;0;0;3;4;0;0;1
Tricolocapsa sp. aff. T. campana;Kiessling;0;0;0;0;1;0;0;0;1;0;0;0;0;4
Tricolocapsa sp. A;n.sp.;0;0;0;0;7;0;1;0;0;0;0;0;0;6
Tricolocapsa sp. B;;5;0;0;0;4;0;0;2;0;0;1;5;0;5
Tricolocapsa sp. D;;0;1;0;0;0;0;0;0;0;0;0;0;3;0
Tridentocyrtis cf. groissi;Steiger & Steiger;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Tridentocyrtis(?) sp. A;;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Tridentocyrtis sp. B;;1;0;0;0;1;0;9;0;0;0;0;0;0;2
Tripocalpis(?) sp. A;;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Tripocyrtis(?) sp. A;;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Windalia (?) sp. A;;0;0;0;0;0;0;0;0;0;1;4;3;18;0
Windalia (?) sp. C;;20;0;1;0;0;0;7;4;0;7;1;20;0;0
Windalia (?) sp. D;;0;0;0;4;6;2;3;3;3;0;0;0;0;8
Windalia(?) sp. E;;0;1;0;0;0;0;2;0;0;0;22;3;0;0
