;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
1;Anthozoa Acanthastrea;18311;17;3;30;Anthozoa;Scleractinia;28.4;47;Acanthastrea
2;Anthozoa Acanthocyathus;16185;9;2;13;Anthozoa;Scleractinia;20.43;48;Acanthocyathus
3;Anthozoa Acanthogyra;12006;9;6;13;Anthozoa;Scleractinia;164.7;34;Acanthogyra
4;Anthozoa Acanthohalysites;14236;5;2;6;Anthozoa;Heliolitida;443.7;10;Acanthohalysites
5;Anthozoa Acanthophyllum;18521;58;3;78;Anthozoa;Stauriida;418.1;12;Acanthophyllum
6;Anthozoa Acdalopora;3690;5;2;6;Anthozoa;Heliolitida;460.5;8;Acdalopora
7;Anthozoa Acervularia;2536;26;1;26;Anthozoa;Stauriida;428.2;11;Acervularia
8;Anthozoa Acidolites;3600;6;3;13;Anthozoa;Heliolitida;460.5;8;Acidolites
9;Anthozoa Acinophyllum;5495;14;3;20;Anthozoa;Stauriida;409.1;13;Acinophyllum
10;Anthozoa Acmophyllum;421;2;1;2;Anthozoa;Stauriida;418.7;11;Acmophyllum
11;Anthozoa Acrocyathus;428;3;1;3;Anthozoa;Stauriida;345;18;Acrocyathus
12;Anthozoa Acrophyllum;29;3;2;4;Anthozoa;Stauriida;409.1;13;Acrophyllum
13;Anthozoa Acropora;19424;202;6;269;Anthozoa;Scleractinia;58.7;44;Acropora
14;Anthozoa Acrosmilia;5814;7;14;24;Anthozoa;Scleractinia;167.7;33;Acrosmilia
15;Anthozoa Actinacis;13076;36;11;90;Anthozoa;Scleractinia;130;37;Actinacis
16;Anthozoa Actinaraea;7059;48;11;74;Anthozoa;Scleractinia;190.7;31;Actinaraea
17;Anthozoa Actinaraeopsis;2430;6;5;11;Anthozoa;Scleractinia;161.2;34;Actinaraeopsis
18;Anthozoa Actinastrea;13078;39;20;148;Anthozoa;Scleractinia;199.6;30;Actinastrea
19;Anthozoa Actinhelia;7599;10;1;10;Anthozoa;Scleractinia;70.6;43;Actinhelia
20;Anthozoa Actinocyathus;1503;4;1;4;Anthozoa;Stauriida;336;19;Actinocyathus
21;Anthozoa Actinophrentis;184;5;3;9;Anthozoa;Stauriida;305;21;Actinophrentis
22;Anthozoa Adaverina;518;2;1;2;Anthozoa;Auloporida;428.2;11;Adaverina
23;Anthozoa Adelocoenia;10259;7;8;20;Anthozoa;Scleractinia;167.7;33;Adelocoenia
24;Anthozoa Agaricia;13310;135;3;145;Anthozoa;Scleractinia;28.4;47;Agaricia
25;Anthozoa Agastophyllum;486;3;1;3;Anthozoa;NA;391.9;14;Agastophyllum
26;Anthozoa Agathelia;166;3;12;11;Anthozoa;Scleractinia;145.5;36;Agathelia
27;Anthozoa Agathiphyllia;18779;22;10;33;Anthozoa;Scleractinia;65.5;44;Agathiphyllia
28;Anthozoa Agetolitella;6510;6;1;6;Anthozoa;Favositida;449.5;9;Agetolitella
29;Anthozoa Agetolites;15001;23;2;25;Anthozoa;Favositida;460.5;8;Agetolites
30;Anthozoa Aggomorphastraea;0;1;2;2;Anthozoa;Scleractinia;167.7;33;Aggomorphastraea
31;Anthozoa Akagophyllum;0;2;1;2;Anthozoa;Stauriida;305;21;Akagophyllum
32;Anthozoa Aknisophyllum;38;3;1;3;Anthozoa;Stauriida;418.1;12;Aknisophyllum
33;Anthozoa Alaiophyllum;9624;3;2;5;Anthozoa;Stauriida;383.7;15;Alaiophyllum
34;Anthozoa Alakiria;8016;2;2;3;Anthozoa;Scleractinia;216.5;29;Alakiria
35;Anthozoa Allocoenia;8448;14;3;16;Anthozoa;Scleractinia;167.7;33;Allocoenia
36;Anthozoa Allocoeniopsis;7627;6;4;11;Anthozoa;Scleractinia;199.6;30;Allocoeniopsis
37;Anthozoa Alloiteausmilia;6934;2;1;2;Anthozoa;Scleractinia;189.6;31;Alloiteausmilia
38;Anthozoa Allotropiochisma;2;3;2;4;Anthozoa;Stauriida;302;21;Allotropiochisma
39;Anthozoa Allotropiophyllum;114;8;8;15;Anthozoa;Stauriida;360.7;17;Allotropiophyllum
40;Anthozoa Alpinophyllia;8004;5;1;5;Anthozoa;Scleractinia;216.5;29;Alpinophyllia
41;Anthozoa Alpinoseris;393;2;1;2;Anthozoa;Scleractinia;216.5;29;Alpinoseris
42;Anthozoa Altaiophyllum;10977;4;1;4;Anthozoa;Stauriida;391.9;14;Altaiophyllum
43;Anthozoa Altaja;12230;7;1;7;Anthozoa;Stauriida;428.2;11;Altaja
44;Anthozoa Alveolitella;17960;30;4;38;Anthozoa;Favositida;418.1;12;Alveolitella
45;Anthozoa Alveolites;19502;161;6;279;Anthozoa;Favositida;443.7;10;Alveolites
46;Anthozoa Alveolocyathus;0;2;1;2;Anthozoa;Scleractinia;70.6;43;Alveolocyathus
47;Anthozoa Alveopora;19942;24;6;46;Anthozoa;Scleractinia;58.7;44;Alveopora
48;Anthozoa Amandophyllum;5308;2;2;4;Anthozoa;Stauriida;318.1;20;Amandophyllum
49;Anthozoa Amaraphyllum;1531;2;1;2;Anthozoa;Stauriida;391.9;14;Amaraphyllum
50;Anthozoa Ampakabastraea;7236;7;6;12;Anthozoa;Scleractinia;216.5;29;Ampakabastraea
51;Anthozoa Amphiastrea;14898;36;8;56;Anthozoa;Scleractinia;171.6;33;Amphiastrea
52;Anthozoa Amphiaulastrea;1883;8;5;12;Anthozoa;Scleractinia;150.8;35;Amphiaulastrea
53;Anthozoa Amplexiphyllum;1026;35;2;37;Anthozoa;Stauriida;409.1;13;Amplexiphyllum
54;Anthozoa Amplexizaphrentis;10600;17;5;35;Anthozoa;Stauriida;360.7;17;Amplexizaphrentis
55;Anthozoa Amplexocarinia;12428;8;12;25;Anthozoa;Stauriida;391.9;14;Amplexocarinia
56;Anthozoa Amplexoides;18032;13;3;17;Anthozoa;Stauriida;443.7;10;Amplexoides
57;Anthozoa Amplexus;11767;32;9;62;Anthozoa;Stauriida;443.7;10;Amplexus
58;Anthozoa Amygdalophylloides;9314;4;4;11;Anthozoa;Stauriida;326.4;19;Amygdalophylloides
59;Anthozoa Amygdalophyllum;727;4;8;5;Anthozoa;Stauriida;360.7;17;Amygdalophyllum
60;Anthozoa Andemantastraea;10916;6;12;13;Anthozoa;Scleractinia;183;32;Andemantastraea
61;Anthozoa Andrazella;0;1;2;2;Anthozoa;Scleractinia;228;28;Andrazella
62;Anthozoa Anisocoenia;8020;4;3;6;Anthozoa;Scleractinia;33.9;47;Anisocoenia
63;Anthozoa Antholites;96;5;1;5;Anthozoa;Favositida;388.1;14;Antholites
64;Anthozoa Anthostylis;8828;8;1;8;Anthozoa;Scleractinia;216.5;29;Anthostylis
65;Anthozoa Antiguastrea;13449;56;15;72;Anthozoa;Scleractinia;99.6;40;Antiguastrea
66;Anthozoa Antillia;2240;4;3;7;Anthozoa;Scleractinia;37.2;46;Antillia
67;Anthozoa Antillocyathus;3416;3;2;4;Anthozoa;Scleractinia;23.03;48;Antillocyathus
68;Anthozoa Antillophyllia;915;4;3;5;Anthozoa;Scleractinia;28.4;47;Antillophyllia
69;Anthozoa Antilloseris;37;3;2;4;Anthozoa;Scleractinia;48.6;45;Antilloseris
70;Anthozoa Aphroidophyllum;512;2;3;3;Anthozoa;Stauriida;418.1;12;Aphroidophyllum
71;Anthozoa Aphrophyllum;0;1;3;2;Anthozoa;Stauriida;360.7;17;Aphrophyllum
72;Anthozoa Aphyllum;19173;14;6;30;Anthozoa;Cystiphyllida;449.5;9;Aphyllum
73;Anthozoa Aplocyathus;155;2;2;3;Anthozoa;Scleractinia;20.43;48;Aplocyathus
74;Anthozoa Aplophyllia;0;1;2;2;Anthozoa;Scleractinia;161.2;34;Aplophyllia
75;Anthozoa Aplopsammia;0;1;2;2;Anthozoa;Scleractinia;112;39;Aplopsammia
76;Anthozoa Aplosmilia;11332;17;3;24;Anthozoa;Scleractinia;164.7;34;Aplosmilia
77;Anthozoa Apocladophyllia;6824;4;5;10;Anthozoa;Scleractinia;189.6;31;Apocladophyllia
78;Anthozoa Aquitanastraea;2940;8;1;8;Anthozoa;Scleractinia;23.03;48;Aquitanastraea
79;Anthozoa Aquitanophyllia;3881;6;1;6;Anthozoa;Scleractinia;23.03;48;Aquitanophyllia
80;Anthozoa Arachnastraea;1153;2;1;2;Anthozoa;Stauriida;312;20;Arachnastraea
81;Anthozoa Arachnolasma;10587;8;2;9;Anthozoa;Stauriida;349.5;18;Arachnolasma
82;Anthozoa Arachnolasmella;78;2;1;2;Anthozoa;Stauriida;376.1;16;Arachnolasmella
83;Anthozoa Arachnophyllum;9155;10;2;19;Anthozoa;Stauriida;443.7;10;Arachnophyllum
84;Anthozoa Araiophyllum;0;1;5;3;Anthozoa;Scleractinia;228;28;Araiophyllum
85;Anthozoa Araucanastrea;0;2;1;2;Anthozoa;Scleractinia;171.6;33;Araucanastrea
86;Anthozoa Archaeosmilia;6509;3;3;5;Anthozoa;Scleractinia;216.5;29;Archaeosmilia
87;Anthozoa Archohelia;2545;13;10;26;Anthozoa;Scleractinia;99.6;40;Archohelia
88;Anthozoa Areopsammia;0;4;1;4;Anthozoa;Scleractinia;70.6;43;Areopsammia
89;Anthozoa Argutastrea;18250;20;2;27;Anthozoa;Stauriida;391.9;14;Argutastrea
90;Anthozoa Aristophyllum;15052;4;2;6;Anthozoa;Stauriida;391.9;14;Aristophyllum
91;Anthozoa Armalites;0;1;2;2;Anthozoa;Auloporida;391.9;14;Armalites
92;Anthozoa Asperophyllum;0;2;1;2;Anthozoa;Cystiphyllida;428.2;11;Asperophyllum
93;Anthozoa Aspidastraea;0;1;3;2;Anthozoa;Scleractinia;93.5;41;Aspidastraea
94;Anthozoa Aspidiscus;4491;2;1;2;Anthozoa;Scleractinia;99.6;40;Aspidiscus
95;Anthozoa Asserculinia;6892;3;3;6;Anthozoa;Stauriida;279.5;23;Asserculinia
96;Anthozoa Assimulia;7602;24;3;28;Anthozoa;NA;305;21;Assimulia
97;Anthozoa Asterosmilia;0;2;7;7;Anthozoa;Scleractinia;65.5;44;Asterosmilia
98;Anthozoa Asthenophyllum;3108;4;3;6;Anthozoa;Stauriida;449.5;9;Asthenophyllum
99;Anthozoa Astraeofungia;1225;2;6;5;Anthozoa;Scleractinia;130;37;Astraeofungia
100;Anthozoa Astraeomorpha;18065;71;3;75;Anthozoa;Scleractinia;237;27;Astraeomorpha
101;Anthozoa Astrangia;17751;10;6;23;Anthozoa;Scleractinia;65.5;44;Astrangia
102;Anthozoa Astraraea;9252;5;11;11;Anthozoa;Scleractinia;171.6;33;Astraraea
103;Anthozoa Astreopora;19712;45;7;95;Anthozoa;Scleractinia;70.6;43;Astreopora
104;Anthozoa Astrhelia;16533;3;2;5;Anthozoa;Scleractinia;37.2;46;Astrhelia
105;Anthozoa Astrictophyllum;193;2;3;3;Anthozoa;Stauriida;412.3;12;Astrictophyllum
106;Anthozoa Astrocoenia;17886;27;21;82;Anthozoa;Scleractinia;199.6;30;Astrocoenia
107;Anthozoa Astrogyra;125;2;6;6;Anthozoa;Scleractinia;125;38;Astrogyra
108;Anthozoa Astroides;194;3;1;3;Anthozoa;Scleractinia;0.781;49;Astroides
109;Anthozoa Atelophyllia;0;1;2;2;Anthozoa;Scleractinia;171.6;33;Atelophyllia
110;Anthozoa Aulacophyllum;15508;4;2;6;Anthozoa;Stauriida;391.9;14;Aulacophyllum
111;Anthozoa Aulastraea;1947;4;5;6;Anthozoa;Scleractinia;161.2;34;Aulastraea
112;Anthozoa Aulastraeopora;6402;2;2;4;Anthozoa;Scleractinia;125;38;Aulastraeopora
113;Anthozoa Aulina;7711;2;2;4;Anthozoa;Stauriida;349.5;18;Aulina
114;Anthozoa Auloclisia;1355;2;1;2;Anthozoa;Stauriida;339.4;18;Auloclisia
115;Anthozoa Aulocystella;0;1;7;2;Anthozoa;Auloporida;428.2;11;Aulocystella
116;Anthozoa Aulocystis;15130;102;5;113;Anthozoa;Auloporida;422.9;11;Aulocystis
117;Anthozoa Aulokoninckophyllum;0;2;2;3;Anthozoa;Stauriida;339.4;18;Aulokoninckophyllum
118;Anthozoa Aulophyllum;5549;22;2;24;Anthozoa;Stauriida;349.5;18;Aulophyllum
119;Anthozoa Aulopora;17926;81;18;179;Anthozoa;Auloporida;460.5;8;Aulopora
120;Anthozoa Auloporella;509;2;2;4;Anthozoa;Auloporida;436;10;Auloporella
121;Anthozoa Aulosmilia;12797;5;6;13;Anthozoa;Scleractinia;125;38;Aulosmilia
122;Anthozoa Aulostegites;5483;4;2;7;Anthozoa;Auloporida;391.9;14;Aulostegites
123;Anthozoa Australophyllum;19639;8;4;17;Anthozoa;Stauriida;422.9;11;Australophyllum
124;Anthozoa Axophyllum;1897;11;4;25;Anthozoa;Stauriida;349.5;18;Axophyllum
125;Anthozoa Axosmilia;8347;30;8;61;Anthozoa;Scleractinia;171.6;33;Axosmilia
126;Anthozoa Axuolites;7019;4;1;4;Anthozoa;Favositida;422.9;11;Axuolites
127;Anthozoa Bacarella;2;2;2;3;Anthozoa;Scleractinia;58.7;44;Bacarella
128;Anthozoa Bajgolia;16524;17;1;17;Anthozoa;Auloporida;460.5;8;Bajgolia
129;Anthozoa Balanophyllia;19979;16;12;86;Anthozoa;Scleractinia;125;38;Balanophyllia
130;Anthozoa Barrandeophyllum;18939;7;10;14;Anthozoa;Stauriida;418.1;12;Barrandeophyllum
131;Anthozoa Baryphyllia;0;1;4;3;Anthozoa;Scleractinia;155.7;34;Baryphyllia
132;Anthozoa Barysmilia;12877;4;9;8;Anthozoa;Scleractinia;93.5;41;Barysmilia
133;Anthozoa Bathycyathus;4384;2;8;5;Anthozoa;Scleractinia;93.5;41;Bathycyathus
134;Anthozoa Battersbyia;2923;3;1;3;Anthozoa;Stauriida;388.1;14;Battersbyia
135;Anthozoa Bethanyphyllum;11636;36;3;39;Anthozoa;Stauriida;391.9;14;Bethanyphyllum
136;Anthozoa Bighornia;4713;38;2;48;Anthozoa;Stauriida;460.5;8;Bighornia
137;Anthozoa Billingsaria;16342;6;2;10;Anthozoa;Sarcinulida;460.5;7;Billingsaria
138;Anthozoa Billingsastraea;541;6;3;7;Anthozoa;Stauriida;418.1;12;Billingsastraea
139;Anthozoa Blothrophyllum;1073;11;2;12;Anthozoa;Stauriida;409.1;13;Blothrophyllum
140;Anthozoa Blysmatophyllum;1531;2;1;2;Anthozoa;Stauriida;391.9;14;Blysmatophyllum
141;Anthozoa Bodophyllum;393;10;2;11;Anthozoa;Stauriida;449.5;9;Bodophyllum
142;Anthozoa Borelasma;277;2;2;3;Anthozoa;Stauriida;445.6;9;Borelasma
143;Anthozoa Bothrophyllum;9315;6;7;14;Anthozoa;Stauriida;376.1;16;Bothrophyllum
144;Anthozoa Bouvierphyllum;2326;14;1;14;Anthozoa;NA;383.7;15;Bouvierphyllum
145;Anthozoa Brachyelasma;4683;8;4;12;Anthozoa;Stauriida;457.5;8;Brachyelasma
146;Anthozoa Brachymeandra;0;1;2;2;Anthozoa;Scleractinia;85.8;41;Brachymeandra
147;Anthozoa Brachyphyllia;0;1;9;3;Anthozoa;Scleractinia;99.6;40;Brachyphyllia
148;Anthozoa Brachyseris;1389;4;11;11;Anthozoa;Scleractinia;189.6;31;Brachyseris
149;Anthozoa Bradyphyllum;8890;4;6;13;Anthozoa;Stauriida;345;18;Bradyphyllum
150;Anthozoa Breviphrentis;18239;10;3;15;Anthozoa;Stauriida;418.1;12;Breviphrentis
151;Anthozoa Breviphyllum;0;2;3;3;Anthozoa;Stauriida;412.3;12;Breviphyllum
152;Anthozoa Briantelasma;1148;6;2;9;Anthozoa;Stauriida;422.9;11;Briantelasma
153;Anthozoa Briantia;17;2;1;2;Anthozoa;Stauriida;418.1;12;Briantia
154;Anthozoa Budaia;0;1;2;2;Anthozoa;Scleractinia;125;38;Budaia
155;Anthozoa Calamophyllia;10000;8;22;31;Anthozoa;Scleractinia;189.6;31;Calamophyllia
156;Anthozoa Calamophylliopsis;11235;93;10;130;Anthozoa;Scleractinia;175.6;32;Calamophylliopsis
157;Anthozoa Calamoseris;1926;8;2;11;Anthozoa;Scleractinia;161.2;34;Calamoseris
158;Anthozoa Calapoecia;19725;37;2;50;Anthozoa;Sarcinulida;460.5;8;Calapoecia
159;Anthozoa Calceola;15083;34;3;47;Anthozoa;Cystiphyllida;418.1;12;Calceola
160;Anthozoa Caliapora;17724;25;3;47;Anthozoa;Favositida;418.1;12;Caliapora
161;Anthozoa Calophyllum;9127;3;8;11;Anthozoa;Stauriida;339.4;18;Calophyllum
162;Anthozoa Calostylis;9128;5;8;11;Anthozoa;Stauriida;466;7;Calostylis
163;Anthozoa Campophyllum;0;2;4;3;Anthozoa;Stauriida;376.1;16;Campophyllum
164;Anthozoa Camptodocis;91;2;1;2;Anthozoa;Scleractinia;125;38;Camptodocis
165;Anthozoa Camurophyllum;0;2;1;2;Anthozoa;Stauriida;412.3;12;Camurophyllum
166;Anthozoa Canadiphyllum;458;31;2;32;Anthozoa;Stauriida;360.7;17;Canadiphyllum
167;Anthozoa Caninia;16383;59;9;113;Anthozoa;Stauriida;391.9;14;Caninia
168;Anthozoa Caninophyllum;17188;24;7;40;Anthozoa;Stauriida;360.7;17;Caninophyllum
169;Anthozoa Canleria;0;1;2;2;Anthozoa;Scleractinia;93.5;41;Canleria
170;Anthozoa Cannapora;285;4;1;4;Anthozoa;Auloporida;443.7;10;Cannapora
171;Anthozoa Cantabriastraea;0;2;1;2;Anthozoa;Stauriida;409.1;13;Cantabriastraea
172;Anthozoa Cantrillia;544;2;2;3;Anthozoa;Cystiphyllida;439;10;Cantrillia
173;Anthozoa Carcinophyllum;4133;3;3;6;Anthozoa;Stauriida;349.5;18;Carcinophyllum
174;Anthozoa Cardiastraea;34;3;1;3;Anthozoa;Scleractinia;183;32;Cardiastraea
175;Anthozoa Carinophyllum;6107;2;1;2;Anthozoa;Stauriida;428.2;11;Carinophyllum
176;Anthozoa Carinthiaphyllum;54;2;4;4;Anthozoa;Stauriida;305;21;Carinthiaphyllum
177;Anthozoa Carlinastraea;14904;6;1;6;Anthozoa;Stauriida;418.1;12;Carlinastraea
178;Anthozoa Carolastraea;0;1;4;2;Anthozoa;Scleractinia;150.8;35;Carolastraea
179;Anthozoa Carruthersella;709;4;2;5;Anthozoa;Stauriida;349.5;18;Carruthersella
180;Anthozoa Caryophyllia;19942;17;16;64;Anthozoa;Scleractinia;161.2;34;Caryophyllia
181;Anthozoa Catactotoechus;12421;3;2;5;Anthozoa;Stauriida;388.1;14;Catactotoechus
182;Anthozoa Catenipora;19500;51;4;139;Anthozoa;Heliolitida;460.5;8;Catenipora
183;Anthozoa Caulastrea;17233;48;6;92;Anthozoa;Scleractinia;58.7;44;Caulastrea
184;Anthozoa Cayugaea;449;2;2;3;Anthozoa;Cystiphyllida;409.1;13;Cayugaea
185;Anthozoa Celechopora;2954;3;1;3;Anthozoa;Favositida;388.1;14;Celechopora
186;Anthozoa Ceratocoenia;10;3;1;3;Anthozoa;Scleractinia;189.6;31;Ceratocoenia
187;Anthozoa Ceratophyllia;729;2;1;2;Anthozoa;Scleractinia;23.03;48;Ceratophyllia
188;Anthozoa Ceratophyllum;13108;2;2;3;Anthozoa;Stauriida;409.1;13;Ceratophyllum
189;Anthozoa Ceratosmilia;3;2;1;2;Anthozoa;Scleractinia;99.6;40;Ceratosmilia
190;Anthozoa Ceratotrochus;8526;5;6;13;Anthozoa;Scleractinia;70.6;43;Ceratotrochus
191;Anthozoa Cereiphyllia;856;5;4;7;Anthozoa;Scleractinia;58.7;44;Cereiphyllia
192;Anthozoa Ceriaster;3801;10;1;10;Anthozoa;Stauriida;443.7;10;Ceriaster
193;Anthozoa Ceriocysta;31;3;1;3;Anthozoa;Cystiphyllida;412.3;12;Ceriocysta
194;Anthozoa Chalcidophyllum;6024;4;3;5;Anthozoa;Stauriida;418.1;12;Chalcidophyllum
195;Anthozoa Charactophyllum;12543;7;3;13;Anthozoa;Stauriida;409.1;13;Charactophyllum
196;Anthozoa Chavsakia;0;2;1;2;Anthozoa;Stauriida;418.1;12;Chavsakia
197;Anthozoa Cheilosmilia;1579;2;2;4;Anthozoa;Scleractinia;161.2;34;Cheilosmilia
198;Anthozoa Chevalieria;0;2;1;2;Anthozoa;Scleractinia;216.5;29;Chevalieria
199;Anthozoa Chlamydophyllum;15726;2;4;5;Anthozoa;Stauriida;422.9;11;Chlamydophyllum
200;Anthozoa Chomatoseris;7744;19;17;40;Anthozoa;Scleractinia;199.6;30;Chomatoseris
201;Anthozoa Chondrocoenia;13766;41;3;42;Anthozoa;Scleractinia;216.5;29;Chondrocoenia
202;Anthozoa Chonophyllum;15556;6;5;10;Anthozoa;Stauriida;443.7;10;Chonophyllum
203;Anthozoa Chonostegites;9617;3;1;3;Anthozoa;Auloporida;391.9;14;Chonostegites
204;Anthozoa Chostophyllum;18250;14;1;14;Anthozoa;NA;391.9;14;Chostophyllum
205;Anthozoa Chuanbeiphyllum;2716;14;1;14;Anthozoa;Stauriida;383.7;15;Chuanbeiphyllum
206;Anthozoa Circophyllia;0;1;3;2;Anthozoa;Scleractinia;48.6;45;Circophyllia
207;Anthozoa Circophyllum;5067;4;1;4;Anthozoa;Stauriida;422.9;11;Circophyllum
208;Anthozoa Cladangia;7073;5;3;9;Anthozoa;Scleractinia;28.4;47;Cladangia
209;Anthozoa Cladochonus;14756;69;14;123;Anthozoa;Auloporida;443.7;10;Cladochonus
210;Anthozoa Cladocora;15040;12;16;58;Anthozoa;Scleractinia;164.7;34;Cladocora
211;Anthozoa Cladophyllia;15526;37;12;83;Anthozoa;Scleractinia;189.6;31;Cladophyllia
212;Anthozoa Cladopora;18562;48;15;149;Anthozoa;Favositida;443.7;10;Cladopora
213;Anthozoa Clausastrea;5701;17;11;45;Anthozoa;Scleractinia;175.6;32;Clausastrea
214;Anthozoa Claviphyllum;2009;2;1;2;Anthozoa;Stauriida;336;19;Claviphyllum
215;Anthozoa Clisiophyllum;5549;16;9;32;Anthozoa;Stauriida;428.2;11;Clisiophyllum
216;Anthozoa Coccophyllum;8890;8;5;10;Anthozoa;Scleractinia;245;27;Coccophyllum
217;Anthozoa Coccoseris;15565;21;2;22;Anthozoa;Heliolitida;460.5;8;Coccoseris
218;Anthozoa Coelocoenia;0;2;1;2;Anthozoa;Scleractinia;228;28;Coelocoenia
219;Anthozoa Coelosmilia;0;1;7;2;Anthozoa;Scleractinia;167.7;33;Coelosmilia
220;Anthozoa Coenastraea;5571;4;4;7;Anthozoa;Scleractinia;189.6;31;Coenastraea
221;Anthozoa Coenites;19502;43;8;113;Anthozoa;Favositida;443.7;10;Coenites
222;Anthozoa Coenocyathus;5347;2;2;3;Anthozoa;Scleractinia;20.43;48;Coenocyathus
223;Anthozoa Coenotheca;410;2;2;3;Anthozoa;Scleractinia;171.6;33;Coenotheca
224;Anthozoa Collignonastraea;7809;6;11;12;Anthozoa;Scleractinia;183;32;Collignonastraea
225;Anthozoa Colonicyathus;122;4;2;7;Anthozoa;Scleractinia;99.6;40;Colonicyathus
226;Anthozoa Colpophyllia;19298;62;7;103;Anthozoa;Scleractinia;70.6;43;Colpophyllia
227;Anthozoa Columactinastraea;5865;6;9;14;Anthozoa;Scleractinia;150.8;35;Columactinastraea
228;Anthozoa Columastrea;9411;6;11;12;Anthozoa;Scleractinia;136.4;37;Columastrea
229;Anthozoa Columnaphyllia;0;1;2;2;Anthozoa;Scleractinia;161.2;34;Columnaphyllia
230;Anthozoa Columnaria;6158;27;8;40;Anthozoa;Stauriida;460.5;8;Columnaria
231;Anthozoa Columnocoenia;11080;11;11;36;Anthozoa;Scleractinia;164.7;34;Columnocoenia
232;Anthozoa Columnopora;1480;5;1;5;Anthozoa;NA;449.5;9;Columnopora
233;Anthozoa Combophyllum;538;5;1;5;Anthozoa;Stauriida;409.1;13;Combophyllum
234;Anthozoa Comophyllia;3167;12;5;17;Anthozoa;Scleractinia;190.7;31;Comophyllia
235;Anthozoa Comoseris;7264;77;18;90;Anthozoa;Scleractinia;190.7;31;Comoseris
236;Anthozoa Complexastraeopsis;5285;6;3;9;Anthozoa;Scleractinia;171.6;33;Complexastraeopsis
237;Anthozoa Complexastrea;11559;22;16;51;Anthozoa;Scleractinia;171.6;33;Complexastrea
238;Anthozoa Confusaforma;104;3;6;5;Anthozoa;Scleractinia;140.2;36;Confusaforma
239;Anthozoa Confusastrea;815;4;1;4;Anthozoa;Scleractinia;171.6;33;Confusastrea
240;Anthozoa Connectastrea;0;3;1;3;Anthozoa;Scleractinia;164.7;34;Connectastrea
241;Anthozoa Conophyllia;1646;13;3;18;Anthozoa;Scleractinia;245;27;Conophyllia
242;Anthozoa Conopoterium;16;2;1;2;Anthozoa;Favositida;376.1;16;Conopoterium
243;Anthozoa Convexastrea;7389;13;5;15;Anthozoa;Scleractinia;161.2;34;Convexastrea
244;Anthozoa Corallium;0;1;9;2;Anthozoa;Gorgonida;85.8;41;Corallium
245;Anthozoa Corbariastraea;1548;3;2;4;Anthozoa;Scleractinia;89.3;41;Corbariastraea
246;Anthozoa Corwenia;1739;2;2;4;Anthozoa;Stauriida;349.5;18;Corwenia
247;Anthozoa Coryphyllia;4769;5;5;11;Anthozoa;Scleractinia;237;27;Coryphyllia
248;Anthozoa Coscinaraea;18311;5;5;8;Anthozoa;Scleractinia;55.8;45;Coscinaraea
249;Anthozoa Craspedophyllia;11033;9;3;12;Anthozoa;Scleractinia;237;27;Craspedophyllia
250;Anthozoa Crassialveolites;18272;47;4;66;Anthozoa;Favositida;412.3;12;Crassialveolites
251;Anthozoa Crassilasma;17691;17;2;20;Anthozoa;Stauriida;449;9;Crassilasma
252;Anthozoa Crassistella;13985;22;1;22;Anthozoa;Scleractinia;216.5;29;Crassistella
253;Anthozoa Craterastraea;5374;3;2;4;Anthozoa;Scleractinia;167.7;33;Craterastraea
254;Anthozoa Craterophyllum;29;3;1;3;Anthozoa;Stauriida;391.9;14;Craterophyllum
255;Anthozoa Cravenia;295;5;2;7;Anthozoa;Stauriida;360.7;17;Cravenia
256;Anthozoa Crenulipora;1138;2;1;2;Anthozoa;Favositida;409.1;13;Crenulipora
257;Anthozoa Crenulites;0;2;1;2;Anthozoa;Stauriida;460.5;8;Crenulites
258;Anthozoa Cricocyathus;3972;6;5;9;Anthozoa;Scleractinia;33.9;47;Cricocyathus
259;Anthozoa Crispatotrochus;9;2;1;2;Anthozoa;Scleractinia;55.8;45;Crispatotrochus
260;Anthozoa Cryptangia;533;4;2;7;Anthozoa;Scleractinia;23.03;48;Cryptangia
261;Anthozoa Cryptocoenia;7637;29;8;43;Anthozoa;Scleractinia;183;32;Cryptocoenia
262;Anthozoa Cryptophyllum;0;1;2;2;Anthozoa;Stauriida;360.7;17;Cryptophyllum
263;Anthozoa Cuctienophyllum;168;2;1;2;Anthozoa;NA;391.9;14;Cuctienophyllum
264;Anthozoa Cuifastraea;11451;8;1;8;Anthozoa;Scleractinia;216.5;29;Cuifastraea
265;Anthozoa Cuifia;9893;16;2;17;Anthozoa;Scleractinia;228;28;Cuifia
266;Anthozoa Culicia;2798;5;2;8;Anthozoa;Scleractinia;28.4;47;Culicia
267;Anthozoa Cunnolites;6510;16;7;29;Anthozoa;Scleractinia;136.4;37;Cunnolites
268;Anthozoa Cyathactis;18158;14;3;19;Anthozoa;Stauriida;443.7;10;Cyathactis
269;Anthozoa Cyathaxonia;15423;21;14;57;Anthozoa;Stauriida;428.2;11;Cyathaxonia
270;Anthozoa Cyathocarinia;7371;2;5;7;Anthozoa;Stauriida;318.1;20;Cyathocarinia
271;Anthozoa Cyathoceras;78;2;3;3;Anthozoa;Scleractinia;70.6;43;Cyathoceras
272;Anthozoa Cyathoclisia;13536;19;3;21;Anthozoa;Stauriida;376.1;16;Cyathoclisia
