;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
6309;Gastropoda Cossmannia;222;9;4;17;Gastropoda;NA;83.5;42;Cossmannia
6310;Gastropoda Cossmannica;143;4;5;5;Gastropoda;NA;55.8;45;Cossmannica
6311;Gastropoda Costactaeon;115;6;1;6;Gastropoda;NA;183;32;Costactaeon
6312;Gastropoda Costazygia;135;5;4;7;Gastropoda;NA;167.7;33;Costazygia
6313;Gastropoda Costoanachis;17374;32;2;58;Gastropoda;Neotaenioglossa;23.03;48;Costoanachis
6314;Gastropoda Costosyrnola;0;1;3;2;Gastropoda;Heterostrophia;37.2;46;Costosyrnola
6315;Gastropoda Cotonopsis;217;3;1;3;Gastropoda;Neotaenioglossa;11.61;49;Cotonopsis
6316;Gastropoda Craginia;1946;8;3;10;Gastropoda;Neotaenioglossa;125;38;Craginia
6317;Gastropoda Craspedostoma;308;3;1;3;Gastropoda;Euomphalina;428.2;11;Craspedostoma
6318;Gastropoda Crassilabrum;197;4;1;4;Gastropoda;Neogastropoda;3.6;49;Crassilabrum
6319;Gastropoda Crassispira;19594;63;5;125;Gastropoda;Neogastropoda;48.6;45;Crassispira
6320;Gastropoda Crassitoniella;21;3;1;3;Gastropoda;NA;28.4;47;Crassitoniella
6321;Gastropoda Crassopleura;41;4;1;4;Gastropoda;Neogastropoda;11.61;49;Crassopleura
6322;Gastropoda Crenaturricula;2732;4;2;6;Gastropoda;Neogastropoda;65.5;44;Crenaturricula
6323;Gastropoda Crenilabium;12815;8;6;20;Gastropoda;Cephalaspidea;61.7;44;Crenilabium
6324;Gastropoda Crenistriella;4347;8;2;9;Gastropoda;Bellerophontida;409.1;13;Crenistriella
6325;Gastropoda Creonella;4912;59;2;64;Gastropoda;NA;70.6;43;Creonella
6326;Gastropoda Crepidula;19720;194;11;392;Gastropoda;NA;112;39;Crepidula
6327;Gastropoda Crepipatella;7038;10;1;10;Gastropoda;NA;3.6;49;Crepipatella
6328;Gastropoda Crepitacella;2596;12;2;13;Gastropoda;NA;23.03;48;Crepitacella
6329;Gastropoda Creseis;445;7;3;10;Gastropoda;Thecosomata;33.9;47;Creseis
6330;Gastropoda Cristalloella;0;1;5;2;Gastropoda;NA;175.6;32;Cristalloella
6331;Gastropoda Cristispira;3775;5;4;8;Gastropoda;Neotaenioglossa;58.7;44;Cristispira
6332;Gastropoda Crommium;15216;81;3;92;Gastropoda;NA;65.5;44;Crommium
6333;Gastropoda Crossea;250;2;1;2;Gastropoda;Archaeogastropoda;23.03;48;Crossea
6334;Gastropoda Crosseola;2771;2;1;2;Gastropoda;Archaeogastropoda;23.03;48;Crosseola
6335;Gastropoda Crossoceras;0;1;2;2;Gastropoda;Euomphalina;409.1;13;Crossoceras
6336;Gastropoda Crucibulum;10224;77;11;161;Gastropoda;NA;112;39;Crucibulum
6337;Gastropoda Cryptaulax;7785;23;11;48;Gastropoda;Sorbeoconcha;216.5;29;Cryptaulax
6338;Gastropoda Cryptochorda;6928;6;2;7;Gastropoda;Neogastropoda;55.8;45;Cryptochorda
6339;Gastropoda Cryptoconus;7891;7;5;16;Gastropoda;Neogastropoda;65.5;44;Cryptoconus
6340;Gastropoda Cryptonatica;18009;42;3;82;Gastropoda;NA;33.9;47;Cryptonatica
6341;Gastropoda Cryptonerita;7027;2;2;3;Gastropoda;Archaeogastropoda;245;27;Cryptonerita
6342;Gastropoda Cryptoplocus;5017;4;5;7;Gastropoda;Heterostrophia;164.7;34;Cryptoplocus
6343;Gastropoda Cryptorhytis;2572;16;3;23;Gastropoda;Neotaenioglossa;83.5;42;Cryptorhytis
6344;Gastropoda Ctenilyria;0;1;2;2;Gastropoda;Neogastropoda;37.2;46;Ctenilyria
6345;Gastropoda Cuphotifer;7819;3;2;4;Gastropoda;Neotaenioglossa;164.7;34;Cuphotifer
6346;Gastropoda Curtitoma;12039;5;1;5;Gastropoda;Neogastropoda;3.6;49;Curtitoma
6347;Gastropoda Cuvierina;9947;2;1;2;Gastropoda;Thecosomata;23.03;48;Cuvierina
6348;Gastropoda Cyclites;1245;3;5;5;Gastropoda;Euomphalina;318.1;20;Cyclites
6349;Gastropoda Cyclodostomia;0;2;1;2;Gastropoda;Heterostrophia;61.7;44;Cyclodostomia
6350;Gastropoda Cyclonema;16556;125;8;253;Gastropoda;Euomphalina;460.5;7;Cyclonema
6351;Gastropoda Cyclora;837;11;3;23;Gastropoda;Euomphalina;460.5;8;Cyclora
6352;Gastropoda Cycloscena;0;1;2;2;Gastropoda;Archaeogastropoda;290;22;Cycloscena
6353;Gastropoda Cyclostrema;17055;5;6;7;Gastropoda;NA;61.7;44;Cyclostrema
6354;Gastropoda Cyclostremiscus;19737;44;6;76;Gastropoda;NA;65.5;44;Cyclostremiscus
6355;Gastropoda Cyclozyga;1357;3;7;9;Gastropoda;NA;383.7;15;Cyclozyga
6356;Gastropoda Cylichna;19489;106;17;274;Gastropoda;Cephalaspidea;167.7;33;Cylichna
6357;Gastropoda Cylichnania;5873;4;5;11;Gastropoda;Cephalaspidea;65.5;44;Cylichnania
6358;Gastropoda Cylichnella;3288;28;7;32;Gastropoda;Cephalaspidea;70.6;43;Cylichnella
6359;Gastropoda Cylicioscapha;929;2;2;3;Gastropoda;Euomphalina;284;23;Cylicioscapha
6360;Gastropoda Cylindriscala;14251;2;1;2;Gastropoda;Neotaenioglossa;11.61;49;Cylindriscala
6361;Gastropoda Cylindrites;7572;11;5;18;Gastropoda;Cephalaspida;171.6;33;Cylindrites
6362;Gastropoda Cylindritopsis;15163;9;6;20;Gastropoda;Murchisoniina;309.2;20;Cylindritopsis
6363;Gastropoda Cylindrobullina;9183;33;11;72;Gastropoda;NA;251;26;Cylindrobullina
6364;Gastropoda Cylindrotruncatum;349;4;1;4;Gastropoda;Cephalaspidea;70.6;43;Cylindrotruncatum
6365;Gastropoda Cyllene;9818;4;2;5;Gastropoda;Neotaenioglossa;23.03;48;Cyllene
6366;Gastropoda Cymakra;0;2;1;2;Gastropoda;Neogastropoda;23.03;48;Cymakra
6367;Gastropoda Cymatium;19487;50;6;70;Gastropoda;NA;65.5;44;Cymatium
6368;Gastropoda Cymatophos;2913;26;2;41;Gastropoda;Neotaenioglossa;23.03;48;Cymatophos
6369;Gastropoda Cymatospira;2223;36;3;40;Gastropoda;Bellerophontida;326.4;19;Cymatospira
